learning_time,midterm_grade,pass_fail
8.75345,98.28498,1.00000
5.73247,90.21012,1.00000
6.55385,83.46090,1.00000
4.52729,82.98916,1.00000
7.65079,78.92335,1.00000
3.03265,82.51540,-1.00000
8.33256,63.02695,1.00000
1.18475,65.04112,-1.00000
5.09339,98.40135,1.00000
4.29733,38.38116,-1.00000
6.50815,85.84730,1.00000
7.98335,58.55959,1.00000
1.64651,85.89523,-1.00000
2.73322,58.80137,-1.00000
2.86973,71.12776,-1.00000
2.19296,32.45011,-1.00000
1.80444,57.79672,-1.00000
4.51562,92.46368,1.00000
4.63725,70.77389,1.00000
4.62536,48.36283,-1.00000
2.87727,97.67412,1.00000
2.65361,71.38259,-1.00000
8.62777,30.85487,1.00000
7.57049,64.66858,1.00000
6.50047,87.40917,1.00000
2.43261,54.25789,-1.00000
3.29674,98.06971,1.00000
2.44014,31.98107,-1.00000
8.32151,89.69216,1.00000
2.72082,60.03028,-1.00000
3.48584,70.31227,-1.00000
5.08289,39.91648,-1.00000
5.99005,66.56423,1.00000
5.90641,30.74641,-1.00000
1.03467,73.84156,-1.00000
1.44698,61.39706,-1.00000
1.47128,88.22969,-1.00000
7.72115,90.19082,1.00000
4.96461,74.34123,1.00000
4.01499,62.28703,-1.00000
1.22255,44.92701,-1.00000
4.29495,95.99616,1.00000
2.43416,98.71432,1.00000
2.95123,37.11017,-1.00000
6.73653,98.94629,1.00000
3.16628,55.17979,-1.00000
5.84925,86.62491,1.00000
7.44067,86.10964,1.00000
6.76906,87.10291,1.00000
5.68589,54.84138,-1.00000
1.43782,79.10111,-1.00000
1.83522,91.10342,-1.00000
8.60850,87.73887,1.00000
1.47218,90.30860,-1.00000
5.12916,43.40990,-1.00000
2.52942,43.84445,-1.00000
6.40540,86.03776,1.00000
4.30776,93.40827,1.00000
8.46652,47.87771,1.00000
8.28643,76.76020,1.00000
4.44616,32.96231,-1.00000
2.76100,61.96206,-1.00000
8.61645,69.25301,1.00000
8.45084,51.23096,1.00000
4.26703,66.75037,-1.00000
4.49087,57.27206,-1.00000
4.62205,65.79924,-1.00000
8.09824,55.23371,1.00000
8.04471,31.44321,1.00000
1.44857,32.04689,-1.00000
7.35575,51.22886,1.00000
4.23864,64.24297,-1.00000
7.15392,40.37874,1.00000
8.79186,71.63374,1.00000
2.69989,30.72614,-1.00000
7.55037,67.59556,1.00000
5.58325,66.90572,1.00000
6.81847,40.25596,-1.00000
2.88763,40.27511,-1.00000
1.16411,48.48567,-1.00000
6.70256,34.91197,-1.00000
1.36708,91.71277,-1.00000
1.60215,38.75157,-1.00000
5.46363,81.66420,1.00000
5.08702,94.95981,1.00000
8.30051,49.68813,1.00000
5.65502,66.61441,1.00000
1.73230,77.23100,-1.00000
1.71948,70.89287,-1.00000
3.44143,32.92313,-1.00000
5.87140,34.73460,-1.00000
4.83749,33.75246,-1.00000
3.24254,44.00935,-1.00000
7.62790,41.96975,1.00000
7.42257,47.01949,1.00000
5.06402,70.85389,1.00000
2.41212,40.48789,-1.00000
7.03739,96.82661,1.00000
5.07025,99.28550,1.00000
5.50360,92.79013,1.00000
2.39735,53.15396,-1.00000
7.49610,90.54845,1.00000
1.46635,43.19318,-1.00000
8.52552,82.64571,1.00000
4.00024,86.30989,1.00000
3.92960,45.80804,-1.00000
5.94511,75.55573,1.00000
5.16648,88.11684,1.00000
7.12580,89.55328,1.00000
2.24340,51.05936,-1.00000
7.41248,83.95603,1.00000
2.35362,41.86225,-1.00000
2.04674,85.86944,-1.00000
7.03977,94.20367,1.00000
5.44759,39.32852,-1.00000
1.20840,71.12940,-1.00000
4.92864,71.30980,1.00000
5.34902,95.36656,1.00000
2.06263,37.76218,-1.00000
3.63433,99.30100,1.00000
4.35828,51.66513,-1.00000
7.03627,63.46246,1.00000
8.55036,82.11679,1.00000
3.32876,82.20739,-1.00000
8.92322,47.20812,1.00000
2.17968,63.50404,-1.00000
5.20462,94.37751,1.00000
8.54727,93.39438,1.00000
8.90741,96.55503,1.00000
7.04023,43.81751,1.00000
3.16538,98.31715,1.00000
6.81538,93.06848,1.00000
8.73192,41.64722,1.00000
7.73966,77.16911,1.00000
2.05924,30.88558,-1.00000
6.44477,63.89234,1.00000
2.56560,65.17085,-1.00000
3.23698,52.23667,-1.00000
7.14800,33.86669,-1.00000
7.48372,71.75163,1.00000
1.12177,59.15529,-1.00000
5.21931,51.93656,-1.00000
8.62109,95.05612,1.00000
5.32610,31.24874,-1.00000
7.85462,95.06207,1.00000
4.03783,83.95198,1.00000
7.72454,69.47059,1.00000
2.76017,53.81774,-1.00000
5.18604,51.43574,-1.00000
2.61016,43.48311,-1.00000
5.35277,62.39426,1.00000
4.23491,64.66021,-1.00000
1.15889,54.57999,-1.00000
5.29293,52.59260,-1.00000
8.80394,87.31381,1.00000
3.70625,42.94208,-1.00000
5.18839,86.89361,1.00000
4.22993,47.04237,-1.00000
5.81486,61.69349,1.00000
7.81689,81.85830,1.00000
2.07887,95.14346,-1.00000
2.23479,59.46395,-1.00000
7.14563,49.74593,1.00000
4.63986,60.68488,-1.00000
5.85647,72.71938,1.00000
3.07834,72.07439,-1.00000
6.44572,89.36624,1.00000
7.86837,46.89075,1.00000
3.55506,74.57089,-1.00000
8.32755,37.13161,1.00000
4.58176,68.51997,-1.00000
5.08482,70.93973,1.00000
7.14973,36.69045,-1.00000
3.13973,46.88487,-1.00000
2.73699,73.11897,-1.00000
8.86014,93.94116,1.00000
8.07973,71.55968,1.00000
5.96907,52.85799,1.00000
4.02593,80.18244,1.00000
4.92748,80.92582,1.00000
2.60256,73.09347,-1.00000
8.84582,98.68073,1.00000
3.32298,83.44842,-1.00000
5.43392,99.02252,1.00000
8.36420,84.56569,1.00000
2.61203,69.42781,-1.00000
5.89187,85.02795,1.00000
