learning_time,midterm_grade,pass_fail
7.34750,56.76237,1.00000
6.72616,58.66702,1.00000
8.21524,98.82449,-1.00000
5.22190,48.17125,1.00000
2.33086,31.89268,-1.00000
4.39731,51.21192,1.00000
2.79388,82.03886,1.00000
1.97406,72.31924,1.00000
1.25736,82.51080,1.00000
1.56393,99.20346,1.00000
1.27556,32.27661,-1.00000
6.70277,97.17916,-1.00000
8.89478,99.97727,-1.00000
2.40508,42.59075,-1.00000
6.33145,86.21017,1.00000
1.32940,50.18472,-1.00000
3.37522,74.86937,1.00000
4.19799,47.45716,1.00000
8.76052,35.98363,1.00000
2.02663,35.84259,-1.00000
3.58476,52.84476,1.00000
6.62806,94.97991,-1.00000
1.00513,76.74235,1.00000
3.28847,31.20129,-1.00000
5.26407,64.45986,1.00000
1.41365,45.08461,-1.00000
6.71933,70.71005,1.00000
3.38536,67.19406,1.00000
4.58871,64.41018,1.00000
3.51898,52.99214,1.00000
6.19107,67.25395,1.00000
1.07503,77.35854,1.00000
4.22418,79.57283,1.00000
4.12436,63.17286,1.00000
2.22841,89.10307,1.00000
4.56643,72.04193,1.00000
8.73028,75.74851,-1.00000
6.99154,54.39674,1.00000
8.63281,45.21451,1.00000
5.02448,36.12976,1.00000
7.00902,49.14541,1.00000
6.19847,74.13223,1.00000
8.31724,82.98087,-1.00000
6.82278,74.50836,1.00000
5.60040,42.10141,1.00000
6.55758,44.66815,1.00000
8.31789,98.29185,-1.00000
3.13200,83.41123,1.00000
1.38759,49.15738,-1.00000
2.82760,76.48663,1.00000
1.88312,65.42351,1.00000
3.03926,74.24186,1.00000
4.53544,54.62576,1.00000
2.68654,92.67538,1.00000
7.47482,59.69052,1.00000
7.75373,85.72969,-1.00000
6.38497,71.88969,1.00000
1.62300,78.89588,1.00000
7.85972,56.01864,1.00000
1.02684,70.57737,-1.00000
3.70539,95.16019,1.00000
3.35524,40.67837,-1.00000
2.63103,60.88227,1.00000
8.64262,38.98654,1.00000
3.00700,51.77546,1.00000
7.58703,96.29043,-1.00000
7.49206,66.41339,1.00000
6.75667,46.14953,1.00000
1.49917,42.65292,-1.00000
2.50615,71.61969,1.00000
2.87121,86.78255,1.00000
6.42735,35.93229,1.00000
2.03028,48.78062,-1.00000
7.25863,84.60186,-1.00000
5.50281,76.67663,1.00000
6.14396,36.90984,1.00000
6.93264,49.04887,1.00000
5.54016,98.08605,1.00000
7.08102,40.75677,1.00000
2.49034,60.79531,1.00000
2.26210,65.79383,1.00000
2.47482,49.89050,-1.00000
6.03406,79.51261,1.00000
1.51326,50.32857,-1.00000
4.83802,88.67486,1.00000
6.62200,48.63480,1.00000
5.08248,91.61587,1.00000
6.60976,34.43409,1.00000
2.72378,57.02174,1.00000
5.75142,88.40150,1.00000
7.29993,36.91070,1.00000
4.57988,31.27353,1.00000
5.64702,32.71599,1.00000
8.70812,98.44904,-1.00000
4.47045,76.74179,1.00000
5.95607,32.85053,1.00000
7.45677,98.21755,-1.00000
8.36690,79.25069,-1.00000
1.52851,63.43323,-1.00000
7.72661,76.40064,-1.00000
4.48444,65.33061,1.00000
8.55158,75.48199,-1.00000
7.02588,35.85669,1.00000
8.86165,30.07914,1.00000
2.10069,61.00274,1.00000
8.92993,99.82873,-1.00000
6.21322,40.21277,1.00000
7.26546,94.84011,-1.00000
3.58117,98.20688,1.00000
2.77644,78.73019,1.00000
2.23793,66.73712,1.00000
2.18037,98.69666,1.00000
5.56101,79.18544,1.00000
1.12584,74.72474,1.00000
6.37586,38.82794,1.00000
2.09524,65.19305,1.00000
6.45479,71.18075,1.00000
6.34210,90.79696,1.00000
7.64760,61.19695,1.00000
5.03466,53.12808,1.00000
8.16269,74.59161,-1.00000
2.84163,65.40634,1.00000
5.13462,77.30294,1.00000
6.86147,85.25844,-1.00000
2.31979,83.93464,1.00000
6.14565,44.49254,1.00000
7.61712,76.47045,-1.00000
1.08353,65.82515,-1.00000
3.68471,47.82682,1.00000
6.57961,71.95634,1.00000
4.60526,49.19220,1.00000
2.49186,95.07673,1.00000
6.60759,71.37224,1.00000
8.10793,62.41824,1.00000
4.99524,77.37243,1.00000
7.82192,30.65753,1.00000
1.89596,57.90134,-1.00000
8.43561,82.59944,-1.00000
4.46966,70.31726,1.00000
5.67872,84.31884,1.00000
8.40274,83.59839,-1.00000
8.25364,33.67999,1.00000
6.69307,77.59395,1.00000
2.10652,63.30996,1.00000
1.29210,60.23964,-1.00000
4.08931,68.08469,1.00000
3.35682,57.79085,1.00000
5.25371,72.04042,1.00000
1.15670,31.52327,-1.00000
5.03154,43.55966,1.00000
1.31878,54.48432,-1.00000
2.70694,58.20558,1.00000
2.26712,63.48985,1.00000
5.70563,69.56146,1.00000
7.04662,77.30294,1.00000
1.26843,75.92128,1.00000
5.37861,90.93658,1.00000
7.07072,97.19112,-1.00000
4.41436,94.18226,1.00000
6.08992,67.22061,1.00000
6.62978,64.57592,1.00000
7.58719,43.04805,1.00000
7.73812,32.87527,1.00000
2.88125,85.77116,1.00000
4.01167,59.60553,1.00000
8.44726,95.00184,-1.00000
5.95733,73.01410,1.00000
3.34476,35.65472,-1.00000
4.00627,55.09407,1.00000
7.67557,45.00428,1.00000
7.57629,48.64119,1.00000
2.95113,93.92651,1.00000
