learning_time,midterm_grade,attendance_rate,homework_completion,pass_fail
3,92,63,49,-1
5,95,76,85,1
5,30,77,34,-1
3,56,87,83,-1
2,79,43,43,-1
3,59,70,79,-1
7,74,43,85,1
5,73,45,88,1
4,30,81,82,-1
5,73,33,89,1
1,46,37,77,-1
2,89,39,92,-1
2,73,81,41,-1
6,77,40,71,1
1,67,75,76,-1
7,86,45,77,1
2,80,58,46,-1
8,64,59,76,1
7,35,91,71,1
7,54,49,54,1
5,34,64,75,-1
7,46,34,47,1
1,89,79,62,-1
5,65,48,65,-1
3,54,98,61,-1
6,67,99,57,1
3,85,46,89,-1
1,60,36,75,-1
6,38,59,65,1
7,49,81,50,1
2,92,37,83,-1
6,57,49,43,1
7,49,93,69,1
3,55,45,60,-1
6,30,43,66,-1
1,63,70,50,-1
5,47,96,63,1
4,99,51,61,1
4,50,75,74,-1
6,89,49,45,1
3,40,95,59,-1
3,66,56,39,-1
8,48,51,75,1
7,35,70,72,1
3,40,51,37,-1
7,87,73,53,1
6,83,51,40,1
8,74,70,72,1
7,73,64,85,1
1,77,48,80,-1
3,36,77,96,-1
1,76,44,35,-1
6,74,34,95,1
2,66,45,81,-1
3,39,57,97,-1
2,40,41,50,-1
1,69,99,70,-1
8,75,50,56,1
3,66,97,75,1
7,73,58,88,1
1,33,76,33,-1
4,71,76,54,1
6,66,51,68,1
1,47,59,87,-1
2,98,59,93,-1
2,58,64,70,-1
8,52,60,76,1
6,35,71,92,1
8,91,77,62,1
6,95,36,37,1
2,60,82,79,-1
2,92,59,54,-1
8,92,93,37,1
1,31,61,97,-1
6,36,57,60,-1
1,30,88,98,-1
7,97,30,60,1
1,60,48,83,-1
3,64,94,99,1
2,98,54,70,-1
8,80,82,97,1
3,31,47,31,-1
1,98,85,99,-1
2,93,97,35,-1
7,75,54,32,1
3,57,61,51,-1
2,73,63,61,-1
6,88,36,75,1
7,44,46,38,1
4,61,88,79,1
7,53,58,64,1
6,77,54,34,1
1,60,63,35,-1
3,64,70,91,-1
6,93,68,31,1
7,62,82,45,1
2,37,62,70,-1
3,42,46,96,-1
4,73,71,38,-1
5,43,70,85,1
2,98,89,97,1
5,51,57,90,1
5,65,38,92,1
3,81,35,70,-1
3,92,69,37,-1
6,64,55,88,1
2,82,59,87,-1
7,45,81,41,1
2,68,78,88,-1
7,65,69,51,1
7,93,31,89,1
1,69,80,81,-1
2,55,90,98,-1
3,77,61,60,-1
7,70,96,36,1
7,34,72,94,1
3,42,38,54,-1
5,86,69,69,1
7,83,58,52,1
1,50,66,85,-1
2,62,62,41,-1
8,70,86,53,1
5,85,65,57,1
2,49,57,62,-1
8,51,57,31,1
8,58,70,61,1
2,64,66,94,-1
2,49,32,58,-1
5,59,95,58,1
2,37,79,64,-1
3,72,50,60,-1
7,71,94,90,1
3,90,58,61,-1
5,57,49,30,-1
3,75,58,91,-1
4,91,34,72,-1
8,55,45,98,1
1,36,70,85,-1
3,99,54,99,1
5,39,69,83,1
2,64,86,87,-1
2,73,37,32,-1
3,59,42,39,-1
2,38,53,57,-1
6,83,59,72,1
7,90,67,98,1
3,34,48,57,-1
1,47,55,82,-1
3,32,70,32,-1
7,65,35,42,1
6,89,61,85,1
6,38,44,49,-1
2,68,33,34,-1
7,59,38,64,1
4,53,39,30,-1
1,68,39,84,-1
2,87,49,86,-1
8,82,32,41,1
4,47,33,40,-1
5,66,75,53,1
4,74,50,52,-1
5,59,99,50,1
6,97,83,52,1
6,47,94,92,1
3,98,98,54,1
5,97,78,61,1
2,43,91,66,-1
7,76,89,82,1
1,38,36,36,-1
4,72,96,64,1
2,90,31,99,-1
5,89,60,48,1
5,74,33,87,1
7,79,69,40,1
5,93,88,58,1
5,80,75,85,1
5,56,77,63,1
6,59,75,59,1
6,45,46,58,-1
1,44,65,51,-1
8,78,93,36,1
3,96,72,45,-1
2,85,30,59,-1
2,48,57,52,-1
2,87,57,80,-1
2,78,93,68,-1
4,93,63,35,-1
4,37,90,90,-1
4,48,99,44,-1
8,33,50,47,1
8,64,40,36,1
6,52,63,45,1
5,78,51,61,1
4,48,73,77,-1
2,88,80,76,-1
6,84,33,31,1
5,54,53,84,1
8,60,52,54,1
6,44,81,82,1
7,90,39,63,1
8,51,86,97,1
2,63,33,96,-1
5,75,48,79,1
5,56,30,35,-1
1,65,48,71,-1
6,49,35,35,-1
4,74,98,56,1
4,93,72,76,1
5,88,52,80,1
6,96,64,86,1
6,35,55,81,1
5,63,36,53,-1
7,54,53,93,1
2,48,60,71,-1
6,34,65,37,-1
2,43,45,31,-1
3,97,48,37,-1
6,84,50,54,1
7,98,77,85,1
2,45,30,52,-1
7,44,84,76,1
2,82,36,30,-1
4,73,74,65,1
5,60,73,85,1
8,95,87,80,1
7,98,65,78,1
8,88,51,55,1
2,96,72,36,-1
4,50,51,66,-1
2,92,37,46,-1
8,50,97,88,1
5,82,77,78,1
3,34,49,93,-1
2,79,84,45,-1
2,53,43,91,-1
8,35,55,43,1
5,39,55,91,-1
4,84,85,89,1
6,75,99,65,1
5,53,99,44,1
1,46,89,63,-1
2,41,45,83,-1
3,38,69,34,-1
1,45,90,80,-1
5,62,49,45,-1
4,54,76,98,1
8,69,61,56,1
5,39,78,36,-1
7,64,58,55,1
2,88,80,58,-1
2,92,37,80,-1
8,37,30,83,1
5,33,42,65,-1
1,74,81,75,-1
7,46,38,97,1
2,30,78,44,-1
5,38,53,70,-1
5,94,71,67,1
7,74,33,47,1
2,58,83,40,-1
4,79,41,80,-1
5,50,45,67,-1
3,73,57,32,-1
1,97,32,95,-1
1,59,87,30,-1
3,41,45,57,-1
7,96,65,54,1
1,59,93,96,-1
3,40,45,83,-1
6,55,50,43,1
2,98,59,34,-1
1,91,67,65,-1
1,63,89,69,-1
3,85,74,48,-1
8,58,58,92,1
7,43,99,46,1
6,92,73,62,1
6,97,54,77,1
2,44,54,96,-1
6,98,86,80,1
2,79,59,80,-1
2,50,90,98,-1
5,58,88,96,1
4,63,42,68,-1
4,39,34,77,-1
5,60,43,50,-1
4,70,51,47,-1
5,45,80,63,1
2,40,39,64,-1
7,66,89,42,1
7,77,82,53,1
4,37,77,73,-1
2,54,71,97,-1
8,89,60,73,1
7,60,65,88,1
8,49,69,60,1
4,85,92,36,1
7,34,39,69,1
5,70,55,81,1
7,37,98,92,1
1,37,76,63,-1
5,36,56,74,-1
1,97,32,90,-1
8,46,49,77,1
5,30,56,83,-1
4,97,33,77,-1
4,82,42,40,-1
8,52,45,43,1
2,48,93,85,-1
4,31,85,87,-1
3,68,35,56,-1
3,32,35,57,-1
2,95,32,82,-1
5,73,68,83,1
7,92,86,40,1
1,96,54,83,-1
1,94,40,82,-1
5,56,80,61,1
5,82,82,68,1
6,45,30,58,-1
7,32,43,68,1
8,41,81,44,1
5,84,72,60,1
2,95,39,69,-1
5,95,35,59,1
4,74,40,67,-1
1,76,56,71,-1
4,54,40,53,-1
8,37,47,76,1
7,73,97,90,1
7,63,95,91,1
6,98,39,61,1
4,31,48,40,-1
5,51,77,82,1
5,41,65,56,-1
2,81,70,45,-1
6,53,93,51,1
6,93,48,75,1
6,70,80,79,1
4,40,49,52,-1
3,86,46,97,-1
7,71,50,52,1
7,78,89,95,1
4,72,39,70,-1
8,55,78,33,1
1,95,92,58,-1
1,69,91,43,-1
6,38,70,56,1
4,77,72,81,1
2,43,48,85,-1
4,33,68,84,-1
5,39,32,88,-1
6,74,99,40,1
3,61,47,95,-1
2,71,47,90,-1
3,49,83,46,-1
8,96,82,80,1
1,34,75,84,-1
7,65,58,97,1
3,84,80,51,-1
4,44,66,70,-1
2,54,44,34,-1
1,53,33,86,-1
6,45,37,56,-1
4,77,50,59,-1
8,42,62,40,1
7,54,98,38,1
6,99,45,92,1
2,97,99,46,-1
3,92,30,51,-1
3,33,90,42,-1
7,85,32,41,1
2,38,95,97,-1
2,78,31,63,-1
4,42,58,59,-1
8,97,80,56,1
8,56,31,63,1
7,67,77,31,1
1,30,76,72,-1
7,76,96,61,1
1,70,67,73,-1
6,86,97,96,1
1,58,99,61,-1
3,57,51,75,-1
4,54,48,80,-1
1,34,51,97,-1
7,96,98,70,1
4,44,44,36,-1
3,98,40,57,-1
2,88,34,50,-1
8,33,38,64,1
2,64,72,32,-1
6,43,68,53,1
5,62,86,56,1
3,68,77,34,-1
5,38,88,94,1
6,44,92,46,1
5,51,95,91,1
3,78,84,49,-1
5,49,73,49,-1
3,37,68,42,-1
5,97,60,72,1
2,84,76,30,-1
5,52,87,81,1
4,61,57,33,-1
8,48,35,68,1
7,95,77,34,1
5,52,52,57,-1
5,45,70,92,1
