learning_time,midterm_grade,attendance_rate,homework_completion,pass_fail
6,40,85,32,1
8,73,37,38,1
1,81,63,93,1
2,48,72,32,-1
5,59,70,35,1
7,74,63,41,1
1,87,65,78,1
1,49,89,35,-1
8,30,91,93,-1
4,86,54,42,1
3,78,70,83,1
3,36,33,30,-1
4,53,59,70,1
3,95,68,66,1
1,36,77,47,-1
1,71,95,89,1
8,65,97,57,-1
7,74,67,92,-1
3,35,31,82,-1
8,50,98,49,-1
7,86,95,90,-1
5,54,49,49,1
2,77,69,72,1
3,66,32,44,1
5,71,84,76,1
5,82,76,99,1
5,70,45,46,1
6,30,42,75,1
4,63,97,76,1
5,85,30,45,1
6,97,43,85,1
6,62,71,65,1
5,69,63,93,1
7,32,65,81,1
4,30,48,44,1
2,35,45,36,-1
6,88,90,73,-1
7,34,46,96,1
5,62,34,60,1
1,88,39,72,1
1,44,85,34,-1
1,45,62,54,-1
8,70,47,93,-1
1,92,67,33,1
4,30,93,51,1
4,87,69,77,1
8,68,84,73,-1
2,42,30,67,-1
3,43,78,36,1
3,32,46,98,1
7,75,49,66,1
5,92,55,37,1
2,65,74,71,1
6,66,58,50,1
7,38,92,75,1
1,53,82,92,1
1,56,63,48,-1
1,45,88,83,1
6,46,51,56,1
7,56,94,50,1
7,34,41,79,1
5,38,95,93,1
2,65,64,93,1
2,63,42,71,1
2,74,88,66,1
3,49,73,47,1
2,47,38,76,-1
1,30,38,55,-1
7,40,98,48,1
7,67,87,51,1
2,96,33,39,1
1,36,75,41,-1
1,88,66,59,1
1,75,81,35,1
6,34,95,34,1
7,46,77,38,1
1,62,36,34,-1
1,91,90,71,1
7,87,75,60,-1
6,87,73,40,1
6,80,62,82,1
2,43,84,69,1
2,39,54,75,-1
7,79,90,88,-1
6,52,58,48,1
5,62,48,73,1
3,51,56,41,1
4,91,72,81,1
7,54,68,58,1
8,68,91,91,-1
1,53,43,64,-1
2,44,53,40,-1
8,73,61,40,1
6,48,38,87,1
7,59,90,90,-1
6,44,83,74,1
8,47,50,32,1
4,58,44,54,1
6,73,38,97,1
5,86,76,86,1
3,84,51,77,1
2,45,60,33,-1
1,84,56,42,-1
4,66,84,37,1
6,81,31,87,1
8,94,76,42,-1
4,91,85,75,1
8,91,42,46,1
8,94,79,90,-1
5,39,43,50,1
6,97,32,53,1
6,30,58,57,1
1,78,85,74,1
3,50,85,70,1
1,84,55,36,-1
1,73,99,79,1
1,38,68,50,-1
4,50,68,60,1
3,42,46,59,1
1,68,39,81,-1
4,94,34,31,1
7,54,49,48,1
8,57,67,58,1
4,44,62,49,1
2,92,91,76,1
3,87,89,43,1
4,96,96,35,1
5,35,63,98,1
6,43,60,36,1
8,37,31,31,1
7,58,54,84,1
5,35,30,63,1
6,34,49,62,1
1,63,78,59,1
3,72,78,55,1
8,80,62,32,1
8,74,67,60,-1
3,60,61,91,1
1,82,33,36,-1
1,53,36,67,-1
8,84,30,91,1
4,57,67,68,1
7,95,34,65,1
2,96,65,81,1
4,47,36,86,1
7,94,69,62,-1
3,89,78,82,1
6,49,31,70,1
3,64,42,77,1
4,91,99,56,1
4,88,74,87,1
6,48,46,46,1
5,61,53,86,1
1,38,63,30,-1
2,61,72,77,1
5,98,65,48,1
5,97,83,60,1
5,81,50,56,1
8,39,66,75,1
5,30,55,86,1
5,76,40,90,1
2,43,77,45,1
7,66,41,67,1
8,33,66,45,1
3,32,33,61,-1
1,35,78,85,-1
6,32,55,37,1
2,92,44,37,1
7,63,92,68,-1
8,88,67,36,-1
6,61,73,55,1
4,30,89,78,1
8,89,99,99,-1
5,52,52,52,1
2,85,88,80,1
8,93,54,59,-1
4,80,40,74,1
7,85,45,81,1
8,53,60,97,-1
7,71,63,43,1
6,95,31,99,1
4,35,31,72,1
2,48,49,63,-1
5,49,44,48,1
3,97,52,76,1
7,42,64,94,1
1,36,85,85,1
8,94,35,37,1
7,55,63,92,1
7,72,87,46,1
2,91,32,39,1
4,87,47,86,1
5,39,75,83,1
4,90,79,71,1
8,60,95,72,-1
1,76,52,99,1
7,69,50,38,1
7,35,80,99,1
2,69,85,62,1
6,73,60,33,1
7,67,57,98,1
8,53,38,44,1
3,96,55,94,1
3,78,35,93,1
8,45,52,53,1
3,31,42,89,1
8,38,37,95,1
3,90,45,66,1
7,55,60,60,1
7,67,62,74,1
6,94,61,77,1
8,74,86,51,-1
3,35,64,79,1
3,54,56,76,1
3,81,39,71,1
2,63,33,66,-1
3,58,70,31,1
2,97,41,87,1
6,58,43,66,1
2,69,89,74,1
2,66,93,51,1
6,86,32,84,1
2,81,45,69,1
7,31,39,52,1
8,56,87,46,-1
3,33,58,87,1
2,96,72,75,1
4,83,42,56,1
6,91,81,45,1
4,60,49,77,1
2,31,78,95,1
5,85,66,51,1
4,58,41,88,1
3,48,89,60,1
3,30,33,81,-1
6,30,97,70,1
5,34,71,68,1
2,57,77,72,1
6,99,81,88,-1
7,83,78,31,1
4,49,70,36,1
8,74,97,86,-1
6,33,97,54,1
6,30,63,57,1
4,42,97,67,1
8,57,65,53,1
1,86,39,57,-1
2,56,96,95,1
8,55,47,30,1
2,95,37,34,1
2,64,99,87,1
3,63,43,49,1
6,83,44,60,1
6,72,97,70,1
3,40,75,77,1
5,97,79,40,1
6,45,72,96,1
6,40,47,91,1
7,65,78,39,1
6,84,92,95,-1
5,87,53,94,1
4,47,36,98,1
1,83,45,99,1
8,53,51,89,1
3,70,89,43,1
2,48,80,98,1
7,67,61,45,1
4,37,46,73,1
4,49,51,90,1
1,55,52,50,-1
2,32,88,76,1
7,80,63,48,1
3,83,61,41,1
2,45,74,34,-1
1,52,42,62,-1
5,54,91,44,1
1,70,50,98,1
4,95,81,49,1
4,42,61,39,1
2,82,97,97,1
5,40,85,92,1
7,65,71,63,1
4,45,31,48,1
5,40,52,40,1
4,41,49,83,1
4,61,32,70,1
2,75,68,59,1
3,80,62,60,1
2,49,71,71,1
8,68,48,61,1
7,94,53,85,-1
8,62,59,94,-1
3,80,32,56,1
7,72,87,49,1
2,51,63,36,-1
8,38,59,37,1
4,32,75,82,1
3,42,82,52,1
8,87,96,47,-1
3,92,81,60,1
7,75,66,66,1
2,64,62,38,1
1,63,60,64,-1
1,94,34,91,1
1,31,63,99,-1
5,61,60,35,1
7,91,42,41,1
1,61,38,31,-1
6,63,61,94,1
2,93,92,74,1
8,95,59,81,-1
8,94,81,70,-1
1,70,33,94,-1
8,38,71,56,1
1,70,37,58,-1
7,87,66,92,-1
7,94,75,98,-1
4,81,61,41,1
4,30,83,47,1
1,78,68,47,1
4,42,98,36,1
6,43,64,47,1
4,36,83,67,1
4,93,77,46,1
4,77,50,30,1
6,62,99,44,1
2,94,96,89,1
4,83,72,44,1
2,95,36,84,1
2,48,59,69,1
8,55,80,96,-1
3,74,85,43,1
4,95,52,53,1
7,44,45,34,1
7,63,42,99,1
3,31,90,51,1
3,54,33,44,-1
7,50,78,81,1
5,96,48,45,1
1,89,57,31,1
1,32,52,75,-1
2,39,79,82,1
7,88,62,98,-1
6,81,51,35,1
2,67,80,39,1
5,59,73,56,1
8,53,38,95,1
5,30,83,45,1
6,63,34,64,1
3,62,73,75,1
1,46,78,68,-1
6,42,55,45,1
2,82,31,71,1
3,51,86,34,1
3,30,76,34,1
6,44,78,78,1
1,83,70,80,1
6,32,47,62,1
4,62,60,30,1
7,49,51,48,1
1,42,44,49,-1
7,98,77,58,-1
4,36,94,58,1
5,54,34,56,1
1,62,55,96,1
7,70,30,50,1
6,72,77,33,1
7,96,61,97,-1
2,80,41,46,1
1,70,61,47,-1
1,54,80,37,-1
4,56,43,86,1
6,36,74,88,1
6,48,38,65,1
3,42,76,92,1
8,95,91,33,-1
6,67,31,59,1
4,49,64,75,1
5,80,93,97,1
4,60,32,78,1
2,41,86,64,1
5,72,40,31,1
1,64,64,39,-1
4,30,75,62,1
6,57,85,39,1
3,79,79,74,1
6,71,81,94,1
6,64,49,42,1
7,76,85,96,-1
7,97,88,87,-1
6,53,48,75,1
7,41,70,93,1
5,71,73,67,1
8,50,96,92,-1
6,60,64,58,1
2,87,81,71,1
6,76,46,54,1
8,74,52,87,-1
8,65,31,87,1
6,71,37,48,1
2,76,39,74,1
8,84,59,38,-1
7,44,56,39,1
3,59,55,32,1
2,49,61,43,-1
2,98,61,42,1
3,67,74,39,1
4,51,68,54,1
5,32,55,31,1
6,69,38,68,1
6,95,79,75,-1
8,77,70,68,-1
5,32,56,55,1
2,72,55,54,1
4,48,71,96,1
6,78,58,73,1
7,93,53,88,-1
5,70,70,56,1
8,32,59,95,1
5,79,65,49,1
5,80,76,73,1
1,34,78,85,-1
5,50,96,92,1
5,38,69,59,1
6,93,74,68,1
7,90,53,37,1
7,35,81,58,1
3,76,93,86,1
3,54,47,72,1
6,40,91,81,1
2,74,86,72,1
7,65,82,31,1
5,70,35,39,1
7,80,55,86,1
1,43,67,42,-1
6,61,59,96,1
1,79,98,58,1
4,31,61,87,1
1,49,46,85,-1
8,51,75,95,-1
6,31,68,52,1
2,38,68,71,1
1,93,79,39,1
5,40,50,44,1
7,85,99,45,-1
4,70,50,87,1
3,93,71,99,1
5,48,74,78,1
3,83,30,77,1
6,40,54,46,1
4,97,35,42,1
1,90,83,42,1
7,50,57,90,1
3,94,92,80,1
3,56,48,30,1
4,69,98,33,1
7,56,33,47,1
6,72,59,85,1
6,73,31,37,1
4,55,66,40,1
4,99,33,67,1
2,36,74,37,-1
1,91,50,39,-1
5,92,77,69,1
5,77,64,81,1
4,62,69,77,1
8,62,37,60,1
2,96,44,78,1
1,39,62,97,-1
7,79,58,41,1
8,61,76,39,1
7,77,49,73,1
6,79,79,67,1
7,92,48,74,1
3,60,71,90,1
8,37,77,61,1
6,55,94,66,1
4,37,48,33,1
5,85,94,79,1
1,64,95,33,1
1,52,94,89,1
4,98,65,69,1
2,60,32,74,-1
5,72,43,65,1
4,88,40,54,1
8,62,46,38,1
6,98,89,81,-1
